epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9728,1.72703,0.18013,0.62115,2.15131,1.86523,1,0.95229,0.98433,0.46546,1,0.95229,0.9902,0.98547,1.64787,0.14709,0.66772,1.32103,1.78417,0.00038,0.00038,0.00038
2,96.6005,1.15698,0.12882,0.25933,1.05433,1.34326,0.99661,0.95455,0.98014,0.41091,0.99661,0.95455,0.98014,0.98014,1.8416,0.13588,0.5337,1.23129,2.15286,0.000777426,0.000777426,0.000777426
3,141.874,1.04463,0.09683,0.26328,0.96478,1.27064,0.01899,0.13636,0.00743,0.00134,0.40387,0.43162,0.41171,0.3818,3.74634,0.16491,0.48837,2.81168,3.46423,0.00117221,0.00117221,0.00117221
4,184.932,1.16517,0.05824,0.28987,1.11525,1.35134,0.54828,0.7724,0.57505,0.2916,0.57596,0.80293,0.61011,0.58773,1.7391,0.10321,0.40031,1.80963,1.92719,0.00156436,0.00156436,0.00156436
5,228.707,1.13227,0.06535,0.17142,1.40913,1.28501,1,0.95366,0.99167,0.73221,1,0.95366,0.99167,0.98479,1.02374,0.08874,0.17556,1.43955,1.31031,0.00195386,0.00195386,0.00195386
6,272.225,1.23981,0.08387,0.21098,1.5038,1.38639,0.74016,0.81818,0.74214,0.25849,0.85758,0.95455,0.93107,0.91622,1.50646,0.08125,0.09943,2.52184,1.94882,0.001967,0.001967,0.001967
7,314.969,1.14958,0.08017,0.18953,1.03087,1.40346,0.99304,0.95455,0.99167,0.65325,0.99304,0.95455,0.99167,0.99059,1.06024,0.0927,0.0141,1.01893,1.52992,0.0019604,0.0019604,0.0019604
8,358.169,1.07765,0.0625,0.20504,0.99569,1.32104,0.99461,0.95455,0.99326,0.64306,0.99461,0.95455,0.99326,0.9781,1.22299,0.07781,0.01014,1.00087,1.56106,0.0019538,0.0019538,0.0019538
9,402.568,1.07727,0.05759,0.169,0.85266,1.35572,1,0.99571,0.995,0.65512,1,0.99571,0.995,0.97578,1.06877,0.09216,0.00415,1.14718,1.39868,0.0019472,0.0019472,0.0019472
10,448.794,1.17009,0.05164,0.13113,0.9188,1.46124,0.9919,0.95455,0.98339,0.54512,0.9919,0.95455,0.98433,0.96965,1.42603,0.06185,0.002,1.28408,1.69075,0.0019406,0.0019406,0.0019406
11,498.066,1.0526,0.04944,0.14013,0.83551,1.22424,0.98991,0.95455,0.9902,0.76545,0.98991,0.95455,0.9902,0.9902,0.91707,0.06673,0.00265,0.9463,1.23674,0.001934,0.001934,0.001934
12,542.794,0.97325,0.04524,0.11673,0.78031,1.1925,0.99898,1,0.995,0.75685,0.99898,1,0.995,0.98182,1.01318,0.06449,0.00293,0.94287,1.29821,0.0019274,0.0019274,0.0019274
13,587.677,1.0076,0.04085,0.06874,0.7085,1.16899,0.99702,1,0.995,0.60291,0.99702,1,0.995,0.995,1.4845,0.07336,0.00234,0.9853,1.65604,0.0019208,0.0019208,0.0019208
14,631.569,1.05667,0.03991,0.1953,0.75294,1.24651,0.99888,1,0.995,0.68127,0.99888,1,0.995,0.995,1.07486,0.05675,0.00167,0.83095,1.36211,0.0019142,0.0019142,0.0019142
15,676.076,0.96474,0.04033,0.11092,0.68283,1.24839,0.99875,1,0.995,0.66667,0.99875,1,0.995,0.995,1.17611,0.05441,0.00423,0.84458,1.48644,0.0019076,0.0019076,0.0019076
16,720.36,0.95688,0.03964,0.11235,0.5894,1.23079,0.99828,1,0.995,0.62312,0.99828,1,0.995,0.98479,1.25045,0.05902,0.00104,0.75172,1.56224,0.001901,0.001901,0.001901
17,766.507,1.02311,0.04228,0.11736,0.65947,1.27487,0.99798,1,0.995,0.44972,0.99798,1,0.995,0.98573,2.0991,0.06482,0.00172,0.91283,2.46671,0.0018944,0.0018944,0.0018944
18,810.011,1.01405,0.04476,0.04796,0.72965,1.23287,0.9931,0.95455,0.98339,0.73752,0.9931,0.95455,0.98339,0.98339,0.96105,0.05008,0.0027,0.80949,1.30607,0.0018878,0.0018878,0.0018878
19,853.422,1.0325,0.03693,0.13539,0.64408,1.27612,0.99006,0.95455,0.96398,0.66258,0.99006,0.95455,0.96398,0.96398,1.04404,0.04889,0.00608,1.23553,1.41468,0.0018812,0.0018812,0.0018812
20,897.541,0.98003,0.04407,0.11851,0.69366,1.26952,0.99477,0.95455,0.99167,0.55474,0.99477,0.95455,0.99167,0.98508,1.42709,0.05549,0.01412,1.28249,1.85707,0.0018746,0.0018746,0.0018746
21,941.979,1.0575,0.05315,0.13442,0.66895,1.2817,0.99591,0.95455,0.9825,0.54919,0.99591,0.95455,0.9825,0.97021,1.47984,0.06261,0.01165,0.92761,1.87664,0.001868,0.001868,0.001868
22,986.932,0.94763,0.03154,0.15299,0.66872,1.24232,1,0.983,0.995,0.77569,1,0.983,0.995,0.995,0.94241,0.03963,0.00579,0.60975,1.28921,0.0018614,0.0018614,0.0018614
23,1031.18,0.93091,0.03633,0.0792,0.58301,1.20236,0.99652,1,0.995,0.71694,0.99652,1,0.995,0.995,1.0694,0.04093,0.00701,0.53078,1.37156,0.0018548,0.0018548,0.0018548
24,1076.16,0.99095,0.0265,0.10546,0.618,1.20435,1,0.99985,0.995,0.54854,1,0.99985,0.995,0.995,1.54413,0.04454,0.01423,0.67605,1.75367,0.0018482,0.0018482,0.0018482
25,1121.12,1.02424,0.03431,0.11858,0.59055,1.21143,1,0.99771,0.995,0.59566,1,0.99771,0.995,0.995,1.37701,0.04403,0.01834,0.63911,1.59562,0.0018416,0.0018416,0.0018416
26,1166.71,0.98224,0.04024,0.16068,0.56944,1.23576,0.99701,1,0.995,0.75442,0.99701,1,0.995,0.995,0.81536,0.04488,0.01529,0.47009,1.19141,0.001835,0.001835,0.001835
27,1211.13,0.95069,0.02647,0.06587,0.66375,1.23213,0.99758,1,0.995,0.6941,0.99758,1,0.995,0.995,1.0255,0.04449,0.00907,0.51938,1.33882,0.0018284,0.0018284,0.0018284
28,1258.81,0.91732,0.03489,0.10102,0.55321,1.21101,0.99767,1,0.995,0.55775,0.99767,1,0.995,0.995,1.48712,0.04762,0.00453,0.69567,1.73636,0.0018218,0.0018218,0.0018218
29,1303.53,0.95954,0.03478,0.08243,0.56559,1.2118,0.99771,1,0.995,0.57471,0.99771,1,0.995,0.98302,1.50302,0.05353,0.00226,0.59639,1.72203,0.0018152,0.0018152,0.0018152
30,1348.25,0.96312,0.02868,0.09138,0.60507,1.21294,0.99799,1,0.995,0.74478,0.99799,1,0.995,0.995,1.01719,0.04951,0.00169,0.50264,1.33357,0.0018086,0.0018086,0.0018086
31,1392.56,1.07222,0.02765,0.04945,0.61248,1.30176,1,0.99677,0.995,0.71006,1,0.99677,0.995,0.995,1.10604,0.04789,0.00214,0.53929,1.41487,0.001802,0.001802,0.001802
32,1436.42,0.88964,0.03418,0.097,0.57042,1.16914,1,0.99702,0.995,0.70986,1,0.99702,0.995,0.995,1.07629,0.04903,0.0027,0.49726,1.3886,0.0017954,0.0017954,0.0017954
33,1480.58,0.89496,0.04119,0.0987,0.54697,1.16921,1,0.99856,0.995,0.63681,1,0.99856,0.995,0.98432,1.33217,0.0532,0.00242,0.53817,1.58798,0.0017888,0.0017888,0.0017888
34,1525.05,0.89207,0.03375,0.09041,0.54264,1.17648,1,0.99891,0.995,0.71698,1,0.99891,0.995,0.98558,1.11852,0.05079,0.00203,0.46482,1.41918,0.0017822,0.0017822,0.0017822
35,1568.69,0.91821,0.02544,0.1083,0.57363,1.19752,0.99931,1,0.995,0.67527,0.99931,1,0.995,0.995,1.26919,0.04817,0.00152,0.51958,1.56811,0.0017756,0.0017756,0.0017756
36,1612.16,0.91239,0.0345,0.07027,0.55116,1.21617,0.9978,1,0.995,0.66287,0.9978,1,0.995,0.995,1.31315,0.04635,0.00143,0.52432,1.6635,0.001769,0.001769,0.001769
37,1655.64,0.97659,0.03316,0.09502,0.5231,1.21653,0.99746,1,0.995,0.73721,0.99746,1,0.995,0.995,1.07567,0.04573,0.00293,0.45973,1.4342,0.0017624,0.0017624,0.0017624
