epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.166,1.16476,0.13972,0.37679,1.07317,1.19466,0.99888,1,0.995,0.74731,0.99888,1,0.995,0.9926,0.92644,0.08138,0.12164,0.49276,0.98294,0.000659933,0.000659933,0.000659933
2,110.534,0.98441,0.04135,0.15484,0.60144,1.08353,0.99933,1,0.995,0.62044,0.99933,1,0.995,0.99252,1.40453,0.04439,0.00338,0.72534,1.26628,0.00131784,0.00131784,0.00131784
3,164.577,1.04693,0.04497,0.12004,0.66051,1.11458,0.99936,1,0.995,0.70282,0.99936,1,0.995,0.99025,1.00469,0.05197,0.00264,0.55437,1.01512,0.00196695,0.00196695,0.00196695
4,219.404,1.00263,0.03433,0.08323,0.65729,1.08075,0.99907,1,0.995,0.73018,0.99907,1,0.995,0.98961,1.02383,0.0265,0.00151,0.5708,1.01993,0.0019604,0.0019604,0.0019604
5,274.35,0.9676,0.03327,0.06871,0.57025,1.05144,0.99899,1,0.995,0.78596,0.99899,1,0.995,0.99259,0.84706,0.01949,0.0039,0.49238,0.95256,0.0019472,0.0019472,0.0019472
6,329.291,0.95613,0.02433,0.09217,0.58393,1.067,0.99907,1,0.995,0.71215,0.99907,1,0.995,0.99246,1.04866,0.02152,0.00208,0.49336,1.03572,0.001934,0.001934,0.001934
7,384.495,0.87181,0.0216,0.05711,0.5261,1.01516,0.99831,1,0.995,0.73608,0.99831,1,0.995,0.99237,0.94231,0.0198,0.00176,0.48217,0.98571,0.0019208,0.0019208,0.0019208
8,439.06,0.89994,0.01618,0.08619,0.5132,1.03025,0.99926,1,0.995,0.80286,0.99926,1,0.995,0.99335,0.74606,0.02444,0.00203,0.41703,0.89893,0.0019076,0.0019076,0.0019076
9,494.366,0.89211,0.01803,0.04789,0.51854,1.03337,0.99934,1,0.995,0.76638,0.99934,1,0.995,0.99126,0.95687,0.02308,0.00226,0.44076,0.9811,0.0018944,0.0018944,0.0018944
10,565.147,0.8632,0.01781,0.05245,0.50225,1.00368,0.9992,1,0.995,0.80464,0.9992,1,0.995,0.99273,0.81864,0.01693,0.00355,0.44717,0.93453,0.0018812,0.0018812,0.0018812
11,632.95,0.87551,0.01483,0.05593,0.49926,1.022,0.99918,1,0.995,0.77282,0.99918,1,0.995,0.99271,0.89643,0.02011,0.00266,0.43316,0.95136,0.001868,0.001868,0.001868
12,700.45,0.8855,0.01648,0.05463,0.49526,1.01946,0.99912,1,0.995,0.80632,0.99912,1,0.995,0.99249,0.73025,0.01999,0.00157,0.43094,0.90274,0.0018548,0.0018548,0.0018548
13,767.367,0.8458,0.01366,0.07367,0.47409,1.01251,0.99782,1,0.995,0.75399,0.99782,1,0.995,0.99142,0.92313,0.01747,0.00427,0.48542,0.966,0.0018416,0.0018416,0.0018416
14,835.561,0.8792,0.01499,0.06055,0.4886,1.01525,0.99917,1,0.995,0.8183,0.99917,1,0.995,0.99288,0.71976,0.01962,0.00054,0.42922,0.89876,0.0018284,0.0018284,0.0018284
15,903.727,0.89772,0.01708,0.05548,0.4975,1.03758,0.99927,1,0.995,0.83879,0.99927,1,0.995,0.99184,0.66914,0.01513,0.00065,0.37984,0.88674,0.0018152,0.0018152,0.0018152
16,971.759,0.87042,0.01589,0.04896,0.47973,1.00842,0.99933,1,0.995,0.80938,0.99933,1,0.995,0.99268,0.79661,0.01546,0.00056,0.39774,0.92898,0.001802,0.001802,0.001802
17,1039.15,0.81872,0.01307,0.04874,0.45923,1.00749,0.9994,1,0.995,0.76611,0.9994,1,0.995,0.99276,0.95879,0.01621,0.00023,0.41292,0.98238,0.0017888,0.0017888,0.0017888
18,1107.54,0.83935,0.01377,0.06115,0.47097,1.00501,0.99938,1,0.995,0.80537,0.99938,1,0.995,0.99255,0.84831,0.0183,0.00066,0.41311,0.93472,0.0017756,0.0017756,0.0017756
19,1176.1,0.82582,0.01199,0.05176,0.47375,0.99644,0.99938,1,0.995,0.83597,0.99938,1,0.995,0.99289,0.71891,0.01443,0.00084,0.36354,0.89017,0.0017624,0.0017624,0.0017624
20,1244.7,0.82454,0.01437,0.05193,0.45723,0.99299,0.99932,1,0.995,0.80343,0.99932,1,0.995,0.99154,0.76011,0.02338,0.00046,0.40295,0.90895,0.0017492,0.0017492,0.0017492
21,1312.71,0.84467,0.01234,0.04952,0.47318,0.99728,0.99938,1,0.995,0.80344,0.99938,1,0.995,0.99211,0.83784,0.01297,0.00167,0.38518,0.92801,0.001736,0.001736,0.001736
22,1381.2,0.78758,0.01122,0.04997,0.44202,0.97864,0.99934,1,0.995,0.815,0.99934,1,0.995,0.99129,0.7945,0.01564,0.00243,0.44142,0.90869,0.0017228,0.0017228,0.0017228
23,1450.14,0.83392,0.01206,0.04267,0.46406,1.00865,0.99929,1,0.995,0.78989,0.99929,1,0.995,0.99145,0.85602,0.01682,0.00088,0.42966,0.93263,0.0017096,0.0017096,0.0017096
24,1519.05,0.81694,0.014,0.05898,0.45145,0.98307,0.99878,1,0.995,0.80455,0.99878,1,0.995,0.99164,0.83271,0.01557,0.00186,0.44925,0.92216,0.0016964,0.0016964,0.0016964
25,1587.35,0.80498,0.01363,0.02537,0.44863,0.97279,0.99878,1,0.995,0.83128,0.99878,1,0.995,0.99116,0.72543,0.01505,0.00042,0.3631,0.89273,0.0016832,0.0016832,0.0016832
26,1656.05,0.77044,0.01218,0.04486,0.42093,0.97936,0.99937,1,0.995,0.8408,0.99937,1,0.995,0.9925,0.68449,0.01272,0.00042,0.32977,0.88261,0.00167,0.00167,0.00167
27,1724.72,0.78527,0.00837,0.03956,0.42014,0.97876,0.99935,1,0.995,0.83914,0.99935,1,0.995,0.99231,0.69487,0.01342,0.00073,0.32152,0.8849,0.0016568,0.0016568,0.0016568
