epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.64,1.34666,0.14877,0.40478,3.5675,1.59224,0.99838,1,0.995,0.78615,0.99838,1,0.995,0.995,0.84759,0.07639,0.0299,0.80792,1.00318,0.07624,0.00024,0.00024
2,1024.46,0.72789,0.0445,0.00762,0.41693,0.95246,0.86347,0.35354,0.43324,0.30512,0.86347,0.35354,0.44441,0.43557,1.47106,0.2401,0.04436,1.79556,1.4369,0.0514899,0.00048988,0.00048988
3,1435.58,0.72191,0.02518,0.0145,0.41044,0.95406,0,0,0,0,0.07692,0.61616,0.05971,0.02071,2.39338,0.15975,0.01074,5847,1.90991,0.0267393,0.000739277,0.000739277
4,1811.05,0.7066,0.01932,0.00188,0.38605,0.93767,0.03185,0.67677,0.0297,0.01076,0.05037,0.63131,0.04757,0.04385,1.80692,0.13406,0.00255,10.1412,1.56359,0.00198783,0.000987825,0.000987825
5,2206.79,0.70234,0.01734,0.00615,0.39575,0.93834,0.68965,0.80808,0.88941,0.69921,0.68965,0.80808,0.88941,0.88851,0.86266,0.1339,0.00023,5.51635,1.0081,0.000996097,0.000996097,0.000996097
6,2669.67,0.71265,0.01421,0.00308,0.3771,0.94908,1,0.99438,0.995,0.81505,1,0.99438,0.995,0.995,0.74212,0.02171,0.00015,3.77362,0.94498,0.000993906,0.000993906,0.000993906
7,3061.33,0.68655,0.01729,0.00088,0.37128,0.92699,0.99811,1,0.995,0.8129,0.99811,1,0.995,0.995,0.77133,0.01282,0.00018,0.80482,0.95529,0.000991232,0.000991232,0.000991232
8,3573.75,0.69455,0.01728,0.00863,0.36232,0.92344,0.9996,1,0.995,0.82804,0.9996,1,0.995,0.995,0.70164,0.01792,0.00017,0.34065,0.92987,0.000988079,0.000988079,0.000988079
9,4046.46,0.68978,0.01441,0.00715,0.35397,0.92779,0.99832,1,0.995,0.82212,0.99832,1,0.995,0.995,0.78181,0.01253,0.00019,0.42885,0.95187,0.000984449,0.000984449,0.000984449
10,4511.17,0.68376,0.01381,0.00514,0.36033,0.9289,0.99924,1,0.995,0.81426,0.99924,1,0.995,0.995,0.72393,0.01034,0.00011,0.4165,0.94217,0.000980345,0.000980345,0.000980345
11,4911.2,0.66904,0.01393,0.00287,0.352,0.9191,0.9981,1,0.995,0.82489,0.9981,1,0.995,0.995,0.72744,0.02181,0.00013,0.41939,0.94581,0.000975773,0.000975773,0.000975773
12,5439.03,0.67109,0.01477,0.00138,0.35267,0.92818,0.99957,1,0.995,0.81483,0.99957,1,0.995,0.995,0.75418,0.01086,0.00017,0.35122,0.93791,0.000970736,0.000970736,0.000970736
13,5944.13,0.67312,0.01459,0.00212,0.35645,0.93001,0.998,1,0.995,0.81522,0.998,1,0.995,0.995,0.75896,0.00904,7e-05,0.72535,0.93742,0.000965239,0.000965239,0.000965239
14,6503.24,0.65853,0.01039,0.00108,0.34194,0.91362,0.9997,1,0.995,0.84148,0.9997,1,0.995,0.995,0.72514,0.0232,0.00012,0.3235,0.93053,0.000959289,0.000959289,0.000959289
15,6904.04,0.66965,0.01049,0.00061,0.3381,0.91815,0.99969,1,0.995,0.83511,0.99969,1,0.995,0.995,0.74581,0.00754,0.00011,0.34435,0.94997,0.000952889,0.000952889,0.000952889
