Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.483012,0.000122,0.8201,100.00,7.27,5.06,4.14,31.60,78.93,80.49,1.047745,0.000447,0.6622,84.85,15.68,12.73,6.51,8.59,32.83,71.66
2,0.945984,0.000211,0.7543,99.87,13.83,10.85,6.68,7.99,41.37,84.98,1.378097,0.000546,0.6300,79.29,20.43,16.66,8.72,5.56,17.68,55.50
3,0.621361,0.000163,0.7818,100.00,9.52,7.77,3.90,22.21,62.18,82.30,1.164413,0.000516,0.6400,79.80,17.42,14.41,7.05,6.57,26.26,57.70
4,0.507984,0.000155,0.8032,100.00,7.57,4.42,5.18,25.89,78.55,85.27,1.075750,0.000479,0.6592,85.86,16.11,11.91,7.86,6.57,25.76,72.97
5,0.454467,0.000166,0.8029,100.00,6.79,4.43,4.25,34.90,83.50,83.67,1.031247,0.000507,0.6559,85.86,15.61,12.05,6.93,9.60,30.30,84.71
6,0.534718,0.000153,0.8053,100.00,7.88,5.77,4.30,26.02,73.35,85.45,1.123223,0.000508,0.6487,83.33,16.80,13.39,7.25,7.58,30.30,67.94
7,0.513277,0.000190,0.7990,100.00,7.45,4.12,5.51,26.78,79.44,84.60,1.086102,0.000524,0.6554,84.85,16.13,12.27,7.65,7.58,26.77,77.62
8,0.666455,0.000140,0.8072,100.00,9.87,7.93,4.51,17.26,57.11,81.99,1.199530,0.000499,0.6424,82.83,18.13,14.96,7.15,7.07,24.24,64.13
9,0.815060,0.000237,0.7363,100.00,11.87,9.46,5.72,9.26,45.69,89.43,1.310436,0.000616,0.6108,76.77,19.19,15.42,8.68,6.06,20.71,57.31
10,0.430989,0.000138,0.8193,100.00,6.43,4.06,4.12,37.94,86.42,83.89,0.994274,0.000450,0.6736,87.37,14.99,11.55,6.69,8.08,33.84,69.12
11,0.498164,0.000153,0.8033,100.00,7.27,4.52,4.87,26.65,81.60,86.84,1.104741,0.000506,0.6467,82.83,16.57,12.64,7.69,7.58,26.77,71.63
12,0.602747,0.000174,0.7855,100.00,8.72,5.42,5.94,19.92,68.27,87.52,1.193685,0.000520,0.6418,83.33,17.41,13.20,8.64,4.55,25.25,68.65
13,0.463804,0.000151,0.8163,100.00,6.89,3.93,4.82,31.35,85.28,83.56,1.021522,0.000465,0.6747,88.38,15.40,11.76,7.06,9.60,30.30,76.44
14,0.576313,0.000151,0.8088,100.00,8.47,5.08,5.82,17.13,69.29,85.13,1.144557,0.000504,0.6456,82.83,16.81,12.80,8.25,6.57,25.76,75.87
15,0.483848,0.000131,0.8237,100.00,7.11,4.41,4.76,30.33,81.22,84.03,1.049447,0.000465,0.6631,85.35,15.80,11.97,7.35,11.11,28.79,79.60
16,0.602968,0.000163,0.8025,100.00,8.95,6.80,4.57,22.59,64.21,81.97,1.141907,0.000501,0.6499,84.34,17.16,14.12,6.93,9.09,26.77,61.06
17,0.626207,0.000187,0.7817,100.00,9.05,6.02,5.73,14.97,63.96,86.46,1.194257,0.000553,0.6331,81.82,17.60,13.57,8.37,8.08,23.23,69.64
18,0.588798,0.000177,0.7824,100.00,8.52,5.37,5.71,21.57,67.64,86.15,1.117418,0.000518,0.6465,82.83,16.68,12.62,7.96,9.09,25.76,68.36
19,0.476893,0.000183,0.7927,100.00,7.00,4.20,4.82,30.33,82.74,84.42,1.053479,0.000515,0.6565,85.86,15.82,11.84,7.52,10.10,29.80,79.62
20,0.619028,0.000188,0.7831,100.00,8.97,5.98,5.61,18.02,65.36,85.55,1.151483,0.000562,0.6332,80.81,17.07,13.26,7.87,9.09,28.79,66.25
21,0.708128,0.000190,0.7759,99.87,10.41,8.14,5.17,13.45,52.28,84.99,1.185945,0.000556,0.6284,80.30,17.86,14.65,7.19,7.07,27.78,59.70
22,0.480822,0.000132,0.8228,100.00,7.05,4.55,4.53,30.58,82.23,83.09,1.075645,0.000481,0.6558,85.86,16.19,12.59,7.22,10.10,30.81,70.69
23,0.633071,0.000186,0.7901,100.00,9.27,4.26,7.59,13.83,59.52,86.37,1.215828,0.000520,0.6494,85.35,17.61,12.56,9.72,4.55,22.22,86.08
24,0.508228,0.000177,0.7828,100.00,7.49,4.98,4.62,25.38,79.19,84.82,1.036054,0.000481,0.6626,87.37,15.54,11.77,7.27,8.08,30.30,88.67
25,0.451335,0.000151,0.8110,100.00,6.67,4.19,4.35,35.79,82.74,79.51,1.004797,0.000466,0.6719,85.86,15.18,12.08,6.45,8.59,30.30,86.99
26,0.489981,0.000168,0.7967,100.00,7.24,4.71,4.60,30.58,80.71,87.02,1.077005,0.000522,0.6413,81.82,16.12,12.36,7.41,8.59,27.78,78.97
27,0.491673,0.000163,0.8104,100.00,7.24,4.83,4.42,31.73,78.68,82.32,1.037386,0.000482,0.6675,87.37,15.52,12.07,7.05,9.60,30.81,70.07
28,0.482505,0.000143,0.8136,100.00,7.11,4.31,4.86,31.73,80.20,83.80,1.067298,0.000481,0.6612,83.84,16.05,12.16,7.47,9.60,27.78,77.70
29,0.542070,0.000181,0.7871,100.00,7.96,4.73,5.51,21.95,73.86,85.12,1.077515,0.000484,0.6647,87.88,16.07,11.92,7.85,7.07,28.79,82.41
30,0.538560,0.000161,0.8004,100.00,7.91,5.16,5.00,23.22,74.37,84.69,1.116173,0.000509,0.6427,82.83,16.70,13.03,7.50,7.58,25.25,73.03
31,0.538632,0.000161,0.8047,100.00,7.85,4.55,5.59,22.21,73.98,88.83,1.135541,0.000516,0.6504,83.84,16.88,12.72,8.14,8.08,26.77,79.26
32,0.432357,0.000123,0.8364,100.00,6.44,4.23,3.98,36.04,85.66,81.71,1.020487,0.000447,0.6711,85.86,15.42,12.29,6.52,8.59,33.33,81.03
33,0.617129,0.000190,0.7838,100.00,9.13,6.94,4.67,20.81,65.99,84.94,1.151752,0.000549,0.6348,83.33,17.26,13.93,7.28,8.59,26.26,62.15
34,0.523180,0.000169,0.7987,100.00,7.69,4.13,5.73,23.48,77.16,83.35,1.075402,0.000509,0.6493,83.33,16.08,11.74,8.02,10.10,27.27,72.22
35,0.851269,0.000259,0.7310,99.49,12.39,9.93,5.85,11.17,44.42,82.89,1.292553,0.000615,0.6091,77.27,19.25,15.64,8.19,5.56,22.22,52.93
36,0.494904,0.000149,0.8127,100.00,7.24,3.97,5.36,27.54,80.58,84.85,1.080289,0.000486,0.6578,85.86,16.13,12.03,7.86,9.09,27.78,78.29
37,0.535872,0.000174,0.7977,100.00,7.89,4.90,5.21,22.21,75.25,87.32,1.121300,0.000510,0.6582,84.34,16.77,12.54,8.06,5.05,27.27,70.60
38,0.474454,0.000162,0.7994,100.00,7.00,4.03,4.94,30.84,83.50,83.25,1.039606,0.000485,0.6602,86.36,15.60,11.95,7.26,10.10,28.79,69.90
39,0.645323,0.000173,0.7987,100.00,9.33,6.04,6.05,15.48,60.79,84.32,1.144226,0.000528,0.6490,82.32,16.90,12.63,8.40,7.58,24.75,68.30
40,0.509390,0.000161,0.8093,100.00,7.22,4.52,4.78,27.66,81.09,83.17,1.072223,0.000497,0.6589,85.35,16.01,12.13,7.58,9.09,29.29,75.51
41,0.455442,0.000157,0.8108,100.00,6.75,4.29,4.30,39.47,81.22,80.71,1.024999,0.000500,0.6534,82.32,15.39,12.31,6.62,9.60,31.31,63.07
42,0.482247,0.000194,0.7791,100.00,7.05,4.16,4.96,30.71,83.38,86.03,1.066385,0.000512,0.6577,82.32,15.99,12.01,7.53,7.58,27.78,79.65
43,0.544999,0.000174,0.8022,100.00,8.03,4.03,6.24,26.27,71.19,85.80,1.113892,0.000535,0.6469,81.82,16.37,11.77,8.66,10.10,27.78,81.97
44,0.465732,0.000150,0.8166,100.00,6.94,4.72,4.12,35.53,80.33,82.49,1.032684,0.000473,0.6657,84.85,15.54,12.43,6.60,10.10,33.33,62.97
45,0.430019,0.000171,0.8041,100.00,6.39,3.89,4.25,39.09,85.66,84.38,1.016164,0.000487,0.6683,86.87,15.39,11.62,7.12,10.61,30.81,85.59
46,0.601405,0.000169,0.8011,100.00,8.82,5.60,5.62,15.99,68.78,87.43,1.103932,0.000507,0.6536,83.33,16.53,12.38,7.96,6.57,26.26,64.58
47,0.429998,0.000127,0.8263,100.00,6.37,3.91,4.25,37.44,87.82,83.17,1.033312,0.000455,0.6620,84.85,15.59,12.07,6.95,9.60,29.80,73.09
48,0.523362,0.000158,0.8095,100.00,7.68,4.26,5.65,24.62,78.30,86.99,1.129129,0.000498,0.6540,86.87,16.83,12.60,8.18,7.58,23.23,73.91
49,0.485598,0.000170,0.7967,100.00,7.10,4.60,4.57,29.95,81.09,82.34,1.020242,0.000460,0.6715,87.88,15.29,11.60,7.16,7.58,29.80,74.76
50,0.443564,0.000133,0.8118,100.00,6.51,4.21,4.16,34.01,87.94,84.40,1.047733,0.000467,0.6579,83.33,15.75,12.28,6.99,8.59,29.29,77.18
51,0.588021,0.000189,0.7838,100.00,8.53,4.84,6.26,20.43,65.61,85.26,1.146444,0.000544,0.6395,83.33,16.83,12.61,8.46,7.58,22.73,72.31
52,0.605553,0.000183,0.7900,100.00,8.76,5.12,6.27,18.40,68.53,86.97,1.143480,0.000521,0.6442,83.84,16.95,12.58,8.48,9.09,24.75,65.00
53,0.503608,0.000142,0.8175,100.00,7.43,5.27,4.30,33.63,76.02,81.22,1.074587,0.000459,0.6658,84.34,16.16,13.04,6.82,7.58,28.28,66.22
54,0.675129,0.000142,0.7906,100.00,9.72,7.45,5.08,21.57,59.52,79.25,1.147616,0.000475,0.6482,83.84,17.22,14.15,7.03,6.06,29.80,57.01
55,0.655205,0.000185,0.7868,100.00,9.71,3.86,8.41,9.26,55.46,88.33,1.197587,0.000507,0.6535,82.83,17.29,11.69,10.30,5.05,20.71,78.09
56,0.494789,0.000168,0.8078,100.00,7.33,4.29,5.07,27.92,78.81,84.50,1.052256,0.000509,0.6614,85.86,15.80,11.79,7.61,7.58,30.30,72.94
57,0.556852,0.000153,0.8085,100.00,8.12,5.07,5.41,20.18,72.84,86.35,1.128753,0.000489,0.6556,85.35,16.72,12.78,7.94,8.59,24.75,69.95
58,0.571986,0.000161,0.8014,100.00,8.44,3.82,6.97,15.74,71.32,86.36,1.135470,0.000479,0.6601,84.34,16.73,11.72,9.18,6.57,24.24,75.35
59,0.676757,0.000203,0.7483,100.00,9.82,7.69,5.00,15.23,56.85,84.21,1.197738,0.000564,0.6194,79.80,17.77,14.21,7.82,6.57,25.76,62.22
60,0.475270,0.000159,0.8025,100.00,6.99,3.65,5.30,28.43,83.63,85.72,1.056242,0.000471,0.6657,87.37,15.70,11.62,7.77,9.60,27.78,78.29
61,0.579805,0.000191,0.7728,100.00,8.39,4.89,6.00,19.29,70.81,85.49,1.073892,0.000504,0.6583,83.84,16.02,11.53,8.23,6.57,26.26,85.05
62,0.668228,0.000160,0.7929,100.00,9.65,6.93,5.67,13.71,57.74,85.71,1.213868,0.000525,0.6395,80.81,17.84,13.97,8.23,6.06,25.25,65.29
63,0.411652,0.000154,0.8163,100.00,6.20,3.90,3.96,40.86,88.07,82.35,1.000127,0.000478,0.6671,85.86,15.01,11.59,6.78,12.63,30.81,77.65
64,0.430714,0.000122,0.8269,100.00,6.40,4.00,4.14,36.68,88.45,85.54,1.008770,0.000435,0.6727,86.87,15.28,11.64,7.00,13.13,32.83,74.39
65,0.467512,0.000163,0.8043,100.00,6.94,3.79,5.08,27.79,86.68,84.59,1.026907,0.000505,0.6545,83.33,15.55,11.79,7.15,9.60,28.79,75.94
66,0.538310,0.000143,0.7949,100.00,8.00,5.83,4.34,27.28,73.73,80.67,1.026730,0.000438,0.6721,87.37,15.33,12.05,6.77,10.10,28.28,84.30
67,0.648326,0.000175,0.7867,100.00,9.42,6.77,5.33,15.74,59.01,84.29,1.196918,0.000538,0.6358,81.82,17.75,13.98,7.97,6.57,26.26,62.09
68,0.598523,0.000206,0.7798,100.00,8.68,6.13,5.09,18.53,69.54,85.38,1.128360,0.000552,0.6400,82.83,16.98,13.40,7.36,7.07,25.76,64.42
69,0.709596,0.000175,0.7823,100.00,10.42,8.30,5.07,11.93,52.41,85.58,1.207973,0.000539,0.6342,82.32,18.02,14.54,7.67,6.57,26.77,64.53
70,0.659525,0.000191,0.7927,100.00,9.44,6.30,5.95,14.59,58.25,84.01,1.179375,0.000533,0.6445,83.33,17.34,13.32,8.31,7.07,26.77,62.35
71,0.563107,0.000141,0.8096,100.00,8.26,3.95,6.63,19.54,72.46,84.49,1.111688,0.000455,0.6621,86.36,16.58,11.81,8.63,6.57,26.77,70.94
72,0.779054,0.000221,0.7583,100.00,11.12,8.15,6.39,8.25,44.92,86.27,1.269831,0.000595,0.6194,79.29,18.66,14.59,8.71,7.07,24.24,59.61
73,0.672895,0.000176,0.7804,100.00,9.50,6.68,5.57,13.58,59.39,85.22,1.189681,0.000544,0.6333,82.83,17.75,13.93,7.96,6.06,23.23,66.39
74,0.581756,0.000180,0.7905,100.00,8.47,4.79,6.16,15.86,70.43,86.04,1.124761,0.000514,0.6451,83.33,16.68,12.30,8.37,7.07,24.24,74.70
75,0.718155,0.000169,0.7851,100.00,10.35,6.63,6.86,11.68,52.28,88.94,1.227338,0.000511,0.6377,82.83,18.01,13.31,9.23,7.07,23.23,66.44
76,0.436159,0.000150,0.8151,100.00,6.44,4.17,4.10,35.28,87.31,84.77,1.025905,0.000464,0.6680,85.86,15.50,12.00,6.87,10.10,31.82,79.64
77,0.443872,0.000157,0.8147,100.00,6.64,4.15,4.30,34.39,86.55,83.57,1.045576,0.000484,0.6598,84.85,15.79,12.30,7.02,11.11,30.30,66.77
78,0.591807,0.000151,0.8054,100.00,8.62,5.89,5.24,17.64,66.88,86.73,1.140686,0.000488,0.6480,84.34,17.18,13.55,7.48,4.55,28.28,67.87
79,0.660347,0.000161,0.8038,100.00,9.70,4.31,8.09,10.15,59.01,88.45,1.229758,0.000504,0.6497,85.86,17.88,12.47,10.10,5.56,23.74,81.00
80,0.567502,0.000187,0.7821,100.00,8.31,5.22,5.49,21.07,70.94,84.17,1.077732,0.000500,0.6573,86.87,16.13,11.80,8.04,10.61,27.27,92.77
