Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.163478,0.041263,0.0473,0.0,173.13,101.44,126.1,0.0,0.0,329.5,0.160137,0.042878,0.0501,0.0,164.29,98.92,118.11,0.0,0.0,289.59
2,0.078829,0.018775,0.1025,0.25,119.63,87.61,68.19,0.0,0.13,284.54,0.0681,0.01813,0.1015,0.0,105.82,72.41,66.7,0.0,0.0,226.72
3,0.056965,0.01293,0.1466,2.28,98.44,76.69,49.89,0.38,1.02,315.14,0.038338,0.010032,0.1681,3.03,76.88,57.33,42.35,0.0,0.0,223.93
4,0.045783,0.010143,0.1828,7.23,87.61,72.97,36.45,0.51,1.65,305.49,0.026477,0.00665,0.2381,10.1,63.44,49.83,30.36,0.0,1.01,232.72
5,0.040259,0.00865,0.2182,10.91,82.69,67.3,36.8,0.63,1.52,302.99,0.022029,0.005376,0.2916,13.64,56.28,45.26,25.58,0.51,3.54,229.62
6,0.037364,0.008095,0.2281,13.58,77.48,64.46,31.46,0.51,1.78,291.09,0.0195,0.004728,0.2978,17.68,52.34,42.67,22.78,0.51,4.55,238.87
7,0.032593,0.007297,0.2448,16.62,71.36,61.83,26.04,0.63,2.92,257.56,0.016172,0.003512,0.3499,28.28,49.4,42.4,18.0,2.53,4.04,215.2
8,0.031147,0.006635,0.264,18.91,70.97,59.99,28.09,0.63,1.9,343.26,0.015359,0.003737,0.3556,24.75,46.48,38.66,19.56,0.51,4.04,211.94
9,0.030036,0.006567,0.2841,20.56,67.58,56.42,26.89,1.14,3.3,320.72,0.013532,0.003228,0.364,28.79,44.26,36.78,17.97,1.52,6.57,181.75
10,0.027454,0.005768,0.2931,22.97,65.38,55.51,24.84,1.14,3.93,278.7,0.013376,0.003058,0.3724,29.8,44.63,37.15,17.92,1.52,6.57,195.2
11,0.031189,0.006614,0.2911,23.22,69.85,59.08,27.42,0.51,2.03,311.98,0.013078,0.002975,0.3757,27.27,45.43,35.23,21.65,1.01,3.54,190.76
12,0.02686,0.005543,0.3145,26.65,63.87,54.75,22.79,0.51,2.92,286.92,0.010654,0.002603,0.392,30.81,39.84,33.06,16.37,3.03,7.58,163.64
13,0.026214,0.0057,0.3299,28.68,61.76,53.22,22.18,0.89,3.68,279.2,0.009559,0.002203,0.4303,43.94,38.49,32.55,14.65,1.52,8.08,154.87
14,0.02494,0.005051,0.3131,24.62,63.31,54.69,22.51,0.76,3.93,306.98,0.009583,0.002188,0.4275,39.9,39.1,32.93,15.28,1.01,8.08,148.38
15,0.02507,0.005177,0.3286,28.55,61.71,52.24,23.62,0.89,3.3,312.99,0.010441,0.002228,0.396,31.31,42.75,36.16,16.6,0.51,5.05,160.69
16,0.027745,0.005963,0.3237,28.17,63.52,54.52,23.06,0.89,2.66,334.88,0.009622,0.00204,0.4225,40.4,40.26,32.88,17.71,1.52,7.07,153.55
17,0.024607,0.00513,0.333,28.68,61.2,51.48,24.24,1.14,4.19,304.99,0.008898,0.001897,0.4548,43.94,38.84,32.75,14.7,2.02,5.05,140.02
18,0.025926,0.005324,0.3275,28.93,62.52,52.93,23.74,0.89,2.79,290.99,0.009292,0.002074,0.4311,38.89,39.18,32.62,16.04,0.51,4.55,142.84
19,0.023578,0.004775,0.3522,31.98,59.01,50.1,21.91,1.4,5.33,297.96,0.008717,0.001979,0.4475,41.92,37.91,30.82,16.2,2.53,4.55,129.46
20,0.022424,0.004756,0.347,30.96,57.23,48.02,22.49,0.63,4.06,242.67,0.008614,0.001946,0.4309,41.41,37.31,31.2,14.2,0.0,7.07,118.54
21,0.020443,0.004083,0.3518,29.06,57.76,49.42,21.89,0.51,3.43,256.58,0.007812,0.001729,0.4704,50.51,35.44,30.25,13.56,2.53,10.61,129.89
22,0.022108,0.004528,0.3528,30.58,58.38,49.19,22.89,0.25,3.05,310.18,0.008107,0.001718,0.4605,44.95,37.46,31.01,14.8,0.51,4.55,125.32
23,0.019468,0.004154,0.36,30.71,54.16,43.94,23.42,1.27,3.43,377.87,0.007927,0.001699,0.4698,47.47,36.51,29.67,15.32,4.04,7.07,121.25
24,0.020778,0.004493,0.3331,26.52,54.87,46.8,20.84,1.02,4.06,283.07,0.009288,0.002324,0.4008,32.83,37.39,31.25,15.45,2.02,7.58,149.28
25,0.020406,0.00413,0.3785,34.77,53.84,45.6,20.33,1.4,6.22,358.23,0.007173,0.001741,0.4685,44.95,33.02,26.85,13.9,2.02,11.62,111.06
26,0.01785,0.003717,0.3683,33.5,52.28,44.9,18.39,0.89,4.7,280.88,0.007192,0.001694,0.4605,44.44,33.65,27.17,14.55,4.04,9.09,107.18
27,0.018561,0.003965,0.3724,32.23,51.35,43.08,20.32,1.52,6.22,294.14,0.007125,0.001782,0.452,44.44,32.5,26.75,13.56,2.02,11.11,109.33
28,0.021572,0.004257,0.354,29.19,54.17,45.89,20.17,1.14,5.08,331.95,0.007036,0.001678,0.4618,43.94,33.01,26.65,14.43,3.54,11.11,109.6
29,0.017464,0.003618,0.3801,32.61,50.77,43.01,19.57,1.02,4.82,259.81,0.006659,0.001528,0.4802,48.48,33.01,26.29,15.03,1.01,6.06,125.73
30,0.018531,0.003839,0.3752,34.14,53.25,44.22,21.62,1.27,5.08,264.71,0.007321,0.001615,0.4519,41.92,35.28,28.58,15.33,2.53,7.58,115.64
31,0.018797,0.004013,0.3846,37.18,52.56,43.37,21.62,0.51,4.44,306.73,0.007485,0.001516,0.4707,46.46,36.21,30.13,14.99,2.53,9.6,128.54
32,0.016565,0.003496,0.4083,39.09,47.94,41.02,17.31,1.52,6.85,332.44,0.006638,0.001476,0.4797,47.98,32.82,27.88,12.57,3.54,13.13,115.11
33,0.017741,0.003596,0.386,35.53,51.17,41.98,21.38,1.9,5.2,295.72,0.006619,0.001486,0.4832,47.98,32.71,26.59,14.41,3.03,10.1,133.78
34,0.017933,0.00369,0.3886,36.93,51.4,42.52,20.86,1.4,4.7,287.08,0.006711,0.001462,0.4905,51.01,33.42,26.24,15.77,2.02,10.1,116.8
35,0.019106,0.004081,0.3762,32.87,51.34,43.05,19.89,1.78,5.46,283.98,0.00723,0.001576,0.4544,42.93,34.75,28.92,13.74,1.01,8.08,130.31
