Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,2.045676,0.040707,0.6741,92.64,14.46,10.45,8.10,8.63,30.08,52.77,3.575204,0.070291,0.4935,50.51,32.61,29.18,10.11,2.02,12.63,140.60
2,2.035884,0.040519,0.6699,90.36,13.92,10.58,6.99,10.41,33.76,60.76,3.456510,0.067938,0.5021,52.53,32.37,29.33,9.35,2.02,10.10,139.45
3,1.923879,0.038247,0.6781,90.48,15.15,11.20,8.00,8.50,29.06,56.79,3.337819,0.065522,0.5074,57.07,33.22,29.92,9.67,3.54,8.59,140.35
4,1.952495,0.038857,0.6846,92.39,14.06,10.26,7.72,7.49,31.22,50.35,3.479248,0.068379,0.4973,48.48,32.56,29.18,9.71,3.03,11.11,135.58
5,2.219136,0.044160,0.6522,87.44,14.98,11.23,7.75,7.99,28.05,45.75,3.767905,0.074068,0.4760,48.99,33.69,30.38,9.69,2.02,12.12,145.48
6,2.038307,0.040543,0.6658,89.59,15.03,11.58,7.33,6.73,28.43,50.25,3.533084,0.069398,0.4878,51.01,33.50,30.25,9.35,3.03,12.12,129.12
7,2.029370,0.040368,0.6955,94.92,14.40,11.86,6.11,12.56,35.03,51.98,3.522821,0.069313,0.5071,55.56,31.29,28.53,8.85,2.02,12.63,154.79
8,2.325421,0.046249,0.6420,85.79,16.17,12.44,7.90,6.73,24.37,51.50,3.755867,0.073816,0.4817,47.98,34.31,30.91,9.74,2.53,11.11,132.87
9,1.982270,0.039471,0.6906,93.78,13.07,9.94,6.56,12.69,38.58,53.87,3.489117,0.068611,0.5036,48.99,32.05,29.01,9.14,2.53,11.11,136.01
10,2.066259,0.041137,0.6822,94.42,13.84,9.73,7.98,9.52,32.61,44.40,3.629142,0.071369,0.4942,52.53,32.56,28.98,9.89,2.53,13.64,144.02
11,1.949796,0.038802,0.6951,93.27,13.72,10.48,7.00,12.69,35.53,43.60,3.486515,0.068520,0.5077,52.53,32.51,29.68,8.95,2.02,10.61,146.46
12,2.226525,0.044249,0.6526,88.96,16.83,13.64,7.59,5.58,22.84,47.34,3.666077,0.072097,0.4834,47.47,32.31,29.43,9.28,2.53,11.11,152.03
13,1.956275,0.038914,0.6854,92.26,14.28,10.42,7.79,12.44,31.85,45.68,3.530108,0.069438,0.4998,52.02,32.01,28.61,9.73,2.02,10.10,147.85
14,1.890870,0.037640,0.7118,96.57,13.01,10.59,5.66,12.06,40.86,45.97,3.476695,0.068311,0.5103,54.55,32.40,29.84,8.41,0.51,11.11,141.45
15,1.978460,0.039420,0.6929,95.30,12.14,8.94,6.51,11.80,43.02,46.02,3.552191,0.069895,0.4962,52.02,31.56,28.57,8.77,3.54,10.10,138.02
16,1.880737,0.037369,0.6895,93.02,15.29,13.02,6.01,10.41,31.60,47.95,3.425614,0.067238,0.5003,50.00,32.75,30.22,8.52,2.53,11.62,146.62
17,1.887743,0.037596,0.6982,95.56,12.78,9.33,6.99,9.77,36.17,40.20,3.476245,0.068338,0.5019,52.02,32.08,29.15,8.92,3.03,12.12,131.12
18,2.460284,0.048882,0.6336,86.17,18.28,14.23,9.25,3.93,18.65,51.49,3.913907,0.076958,0.4749,49.49,33.78,30.30,10.97,1.01,7.58,149.78
19,1.947360,0.038783,0.6973,95.81,12.86,8.98,7.50,11.68,37.69,47.03,3.544016,0.069680,0.4980,51.52,32.27,29.00,9.45,3.03,10.10,133.36
20,1.958262,0.038985,0.6939,94.54,13.45,8.72,8.52,11.42,34.52,45.97,3.529104,0.069404,0.5030,55.56,32.23,28.62,10.17,4.04,9.09,140.01
21,1.983759,0.039518,0.6970,95.69,12.36,9.02,6.65,13.07,40.10,40.17,3.551000,0.069865,0.5036,53.03,31.57,28.65,8.83,3.03,11.62,138.84
22,1.803196,0.035921,0.7169,96.83,11.77,9.21,5.60,13.20,45.30,43.55,3.396509,0.066745,0.5160,56.06,31.90,29.31,8.13,3.03,11.62,136.62
23,1.900893,0.037853,0.7082,96.57,12.86,9.69,6.55,10.53,38.07,47.15,3.498056,0.068728,0.5077,58.59,32.71,29.84,8.81,3.54,13.13,143.73
24,1.963244,0.039055,0.6870,93.15,14.37,11.09,7.10,10.28,31.73,48.26,3.491930,0.068684,0.5020,55.05,31.43,28.42,9.25,0.51,10.61,150.13
