Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,120.133533,0.119931,0.7250,98.98,12.08,9.12,6.15,12.94,40.74,41.95,221.692800,0.219884,0.5220,57.58,29.86,26.89,8.83,4.55,13.64,120.46
2,113.860071,0.113669,0.7302,98.35,13.48,8.79,8.64,6.73,31.22,32.68,212.038666,0.210361,0.5368,62.63,29.54,26.04,9.92,2.02,10.61,123.32
3,104.848633,0.104666,0.7467,98.48,10.78,8.59,4.81,17.26,52.28,35.49,202.832092,0.201144,0.5487,64.65,28.22,25.81,8.00,4.04,15.66,132.41
4,129.284646,0.129105,0.7208,98.22,11.83,8.53,6.53,11.93,41.75,33.52,230.598386,0.228806,0.5235,60.10,29.70,26.72,8.82,5.05,13.64,132.99
5,113.360658,0.113200,0.7482,99.24,10.72,8.02,5.61,16.24,50.00,33.69,214.562773,0.212830,0.5428,63.64,28.70,26.22,8.03,4.55,13.13,135.80
6,117.387781,0.117221,0.7264,98.48,11.83,8.24,7.10,12.56,41.12,33.45,221.594851,0.219890,0.5223,58.08,28.81,25.82,8.77,6.57,13.13,132.80
7,105.456793,0.105279,0.7557,98.98,11.11,8.73,5.32,14.21,43.78,30.02,212.950491,0.211160,0.5337,60.10,29.41,26.80,8.19,6.06,14.14,119.37
8,121.498252,0.121158,0.7072,97.34,14.33,12.23,5.48,9.26,31.22,41.45,215.786719,0.214010,0.5300,64.14,28.82,26.34,8.20,4.55,16.67,139.12
9,113.881588,0.113709,0.7393,99.11,12.64,8.35,7.90,10.03,34.39,35.55,217.257597,0.215472,0.5324,61.11,29.90,26.40,9.62,4.55,12.63,125.68
10,115.765629,0.115587,0.7324,99.11,11.28,8.60,5.67,14.59,44.80,32.86,219.405698,0.217616,0.5268,59.60,29.45,26.61,8.37,5.05,14.14,125.85
11,120.668488,0.120386,0.7207,97.21,13.54,10.56,6.55,11.42,38.71,40.64,218.922983,0.217059,0.5251,59.60,30.03,27.27,8.89,2.53,13.13,135.47
12,113.271441,0.113023,0.7399,98.98,12.39,10.23,5.29,11.55,42.77,37.76,215.949899,0.213883,0.5295,59.60,31.46,29.07,8.00,6.06,12.63,118.57
13,122.850903,0.122688,0.7217,98.48,13.02,8.06,8.73,8.50,33.12,37.76,221.707412,0.220064,0.5283,59.60,29.37,25.49,10.03,4.04,9.60,123.66
14,117.103833,0.116885,0.7331,97.84,12.34,9.38,6.29,11.68,41.24,41.00,214.780377,0.213137,0.5397,63.64,27.91,25.15,8.37,4.55,14.65,141.04
15,101.711232,0.101542,0.7665,98.98,10.26,8.26,4.48,19.29,53.81,30.73,206.063982,0.204307,0.5453,63.64,28.66,26.31,7.59,4.04,13.13,136.38
16,123.518580,0.123263,0.7258,99.11,13.13,10.07,6.66,10.53,38.32,42.11,224.737998,0.222839,0.5209,58.08,30.04,27.40,8.45,3.03,14.14,129.71
17,99.897372,0.099740,0.7618,99.49,10.81,8.10,5.67,12.69,48.10,36.84,207.832141,0.206140,0.5443,63.64,28.70,25.89,8.25,4.04,15.15,132.04
