Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,0.469063,0.014222,0.1583,8.25,139.00,117.57,54.99,0.13,0.76,569.23,0.113698,0.003321,0.2966,22.73,71.95,66.01,21.30,0.51,2.02,202.38
2,0.479829,0.014371,0.1576,8.50,140.12,120.28,53.94,0.38,0.89,570.64,0.100461,0.004027,0.2416,15.66,65.64,56.51,25.59,1.01,2.02,217.91
3,0.413790,0.012199,0.1703,10.41,130.06,112.02,48.76,0.25,1.40,516.51,0.131842,0.005624,0.2157,16.16,75.04,70.74,17.75,0.00,2.53,224.39
4,0.397700,0.012296,0.1734,9.39,127.15,111.16,46.98,0.51,1.78,507.75,0.127199,0.003700,0.2595,14.65,74.92,69.41,20.97,0.51,2.53,222.90
5,0.420342,0.012858,0.1575,8.12,132.34,113.50,51.37,0.25,1.02,465.89,0.080435,0.003425,0.2765,17.68,57.67,52.74,15.78,0.00,4.55,184.32
6,0.364610,0.011300,0.1735,8.38,123.73,106.13,48.13,0.00,1.02,459.02,0.097466,0.003612,0.2571,9.60,65.92,56.57,26.69,0.00,1.52,178.57
7,0.398857,0.011827,0.1834,10.79,126.45,109.34,47.62,0.51,1.78,567.67,0.063744,0.002970,0.3124,19.70,49.11,45.02,13.83,2.02,5.56,178.04
8,0.355341,0.010376,0.1920,10.28,120.35,101.38,48.11,0.51,1.65,470.15,0.064026,0.003007,0.3261,27.78,50.04,45.77,14.67,1.01,4.04,156.99
9,0.370887,0.011126,0.1845,10.41,123.87,106.24,49.40,0.38,1.14,496.68,0.070732,0.002984,0.3020,18.69,53.54,45.92,20.23,1.52,4.55,203.43
10,0.355475,0.010673,0.1903,11.55,121.59,104.82,46.33,0.13,1.14,425.56,0.071533,0.003061,0.3079,20.20,53.43,50.35,11.59,2.53,6.06,177.78
11,0.356917,0.010560,0.1963,12.06,120.41,103.75,45.15,0.51,1.78,481.01,0.068779,0.003100,0.3095,25.76,51.99,48.69,12.52,0.51,2.53,185.53
12,0.364193,0.011087,0.1844,10.03,121.97,105.96,45.32,0.38,1.27,484.63,0.090454,0.003976,0.2486,15.66,60.10,57.08,12.87,1.52,5.05,191.02
13,0.371072,0.011181,0.1748,8.76,124.73,108.05,46.27,0.51,1.27,500.12,0.071716,0.003226,0.2735,17.68,54.21,50.59,13.37,0.51,3.54,177.85
14,0.389866,0.011248,0.1850,10.79,125.46,108.96,46.96,0.00,0.38,494.78,0.104459,0.003256,0.2719,12.63,66.60,60.12,20.88,1.01,3.54,187.08
15,0.379753,0.011269,0.1847,10.28,126.29,109.69,46.38,0.00,1.02,540.12,0.110296,0.003705,0.2854,25.25,67.94,62.38,18.44,1.01,5.05,206.60
16,0.363911,0.011311,0.1850,10.53,122.45,106.47,44.16,0.13,0.76,508.76,0.082719,0.003378,0.2480,12.63,60.36,55.01,17.74,1.01,2.53,176.09
17,0.367107,0.010734,0.1997,11.42,120.44,104.15,45.02,0.38,1.02,523.40,0.094837,0.003911,0.2769,21.72,60.26,56.98,12.68,1.52,8.08,220.64
18,0.353146,0.010981,0.1972,12.94,120.55,103.33,46.34,0.25,1.52,449.84,0.077529,0.002962,0.2874,19.70,54.81,51.40,11.82,1.01,5.56,194.91
19,0.337035,0.010024,0.1925,9.90,117.71,101.38,45.61,0.38,1.90,458.04,0.060514,0.002788,0.3170,23.74,48.39,45.03,11.52,1.52,5.56,163.04
20,0.311126,0.009523,0.2053,12.94,111.99,96.90,42.65,0.38,1.14,444.89,0.089893,0.004017,0.2639,18.18,59.09,55.50,14.05,0.00,7.07,196.81
21,0.359439,0.010764,0.2003,11.29,119.04,102.41,45.92,0.51,1.02,471.58,0.060956,0.002830,0.3102,24.24,49.52,46.12,12.14,1.01,5.56,148.61
22,0.335866,0.010171,0.1933,11.93,116.42,100.08,44.73,0.63,1.65,494.19,0.072533,0.002908,0.3070,23.74,54.28,50.18,14.02,0.51,4.04,177.34
23,0.327568,0.010004,0.1998,11.80,115.40,98.82,45.27,0.76,1.27,429.93,0.073542,0.003314,0.2920,22.22,53.57,49.67,13.60,0.51,5.56,180.73
24,0.342101,0.010523,0.1945,11.42,119.14,103.21,43.61,0.38,1.52,445.35,0.152696,0.004709,0.2590,22.73,80.82,78.32,12.37,1.01,3.54,235.41
25,0.333772,0.009789,0.2076,11.68,115.70,99.46,44.69,0.13,1.02,486.57,0.063517,0.002776,0.2975,18.69,50.16,45.64,14.43,2.02,6.06,176.15
26,0.322611,0.009259,0.2200,13.45,113.57,97.02,43.60,0.13,0.89,466.00,0.075144,0.003120,0.3208,25.76,53.74,49.71,13.47,0.00,6.57,189.57
27,0.332746,0.009694,0.2110,14.85,116.44,99.65,45.68,0.51,1.52,469.14,0.070423,0.002674,0.3257,24.24,53.09,47.72,16.70,0.51,5.05,185.51
28,0.299295,0.009376,0.2189,15.10,109.59,92.91,43.82,0.13,1.78,498.66,0.063361,0.002311,0.3298,25.25,50.39,45.93,14.27,1.01,5.05,179.54
29,0.348834,0.010284,0.2077,13.45,117.00,100.62,45.17,0.13,1.14,674.73,0.071149,0.002442,0.3515,27.78,54.66,48.93,16.78,0.51,2.53,177.03
30,0.343337,0.010403,0.2161,16.37,115.97,102.27,41.18,0.51,1.90,493.55,0.068072,0.003133,0.3315,28.28,51.15,47.18,13.65,1.52,6.06,177.92
31,0.309596,0.009246,0.2172,13.58,113.23,98.94,41.01,0.38,0.63,477.32,0.091065,0.003297,0.3286,31.82,59.21,55.46,13.77,1.01,4.55,208.64
32,0.325744,0.009608,0.2263,15.61,113.86,98.84,42.53,0.76,2.16,479.29,0.070853,0.002954,0.3249,29.29,52.68,49.06,12.70,1.01,5.05,188.56
33,0.322014,0.009790,0.2125,13.20,114.51,99.88,42.38,0.38,1.14,512.39,0.074754,0.002814,0.3443,32.32,54.42,50.62,13.38,0.00,7.58,178.78
34,0.318947,0.009741,0.1968,11.04,115.43,98.55,45.83,0.38,1.27,451.94,0.066981,0.002657,0.3283,25.25,52.71,48.00,16.12,1.01,6.06,171.27
35,0.341631,0.010215,0.2090,12.82,117.47,102.27,42.85,0.13,1.40,462.76,0.069528,0.002730,0.3479,29.80,52.42,48.62,13.08,1.01,4.55,182.43
36,0.309559,0.009491,0.2201,14.97,110.50,95.80,40.66,0.25,0.63,458.92,0.062764,0.002632,0.3478,29.29,50.45,45.23,16.08,2.02,6.57,162.96
37,0.307100,0.009381,0.2040,13.45,111.44,97.63,40.74,0.00,1.27,462.23,0.082952,0.002812,0.3356,31.31,57.23,54.00,12.87,1.52,5.56,207.28
38,0.293956,0.009195,0.2139,12.82,109.79,94.81,41.79,0.25,0.76,438.50,0.063330,0.002665,0.3408,27.78,50.38,46.37,14.00,2.53,7.58,172.32
39,0.296312,0.008996,0.2223,14.97,107.76,93.50,40.64,0.76,1.65,541.75,0.072226,0.002664,0.3570,34.34,52.70,48.91,12.74,0.51,8.59,176.63
40,0.297882,0.009195,0.2200,15.10,109.43,95.97,38.46,0.76,1.52,554.42,0.060517,0.002280,0.3570,27.78,49.46,45.85,12.52,1.52,6.06,163.86
41,0.295711,0.009067,0.2181,13.32,109.32,94.90,40.25,0.38,1.14,457.78,0.059935,0.002321,0.3588,29.29,49.22,44.48,15.06,1.01,5.56,160.01
42,0.294435,0.009381,0.2164,14.09,108.25,93.82,40.03,0.38,2.16,501.85,0.063562,0.002495,0.3380,27.78,51.60,46.21,16.79,2.02,7.07,159.75
43,0.300391,0.009034,0.2198,13.45,109.33,93.78,41.53,0.63,2.03,429.55,0.065874,0.002371,0.3255,24.75,52.60,45.76,19.21,0.51,5.05,170.41
44,0.319164,0.009553,0.2155,13.20,113.44,97.17,43.82,0.25,1.65,533.55,0.056529,0.002254,0.3529,30.30,48.16,43.46,14.58,1.01,4.55,153.31
45,0.311463,0.009540,0.2021,12.31,112.68,97.09,43.30,0.25,1.90,413.54,0.060151,0.002341,0.3489,30.30,49.44,44.10,16.20,1.52,4.55,167.89
46,0.327552,0.009938,0.2040,12.44,116.09,100.19,44.49,0.13,0.51,507.89,0.064278,0.002283,0.3408,26.77,51.89,46.86,15.68,1.01,4.04,151.72
47,0.326418,0.009670,0.2272,16.24,112.60,97.46,41.93,0.13,1.52,534.63,0.062395,0.002288,0.3612,30.30,49.34,45.44,12.71,1.52,6.06,158.35
48,0.305842,0.009575,0.2139,12.94,110.71,95.39,41.62,0.25,1.40,472.52,0.054486,0.002055,0.3629,32.32,47.08,43.52,11.73,1.52,3.54,144.26
49,0.307491,0.009078,0.2201,12.69,110.96,95.60,42.26,0.25,0.63,479.11,0.085825,0.003144,0.3107,26.26,59.45,52.85,19.10,0.00,2.02,174.09
50,0.333466,0.009939,0.2154,13.58,114.69,100.05,41.83,0.63,1.78,609.95,0.067616,0.002684,0.3254,26.26,52.53,47.49,16.07,3.03,5.05,161.13
51,0.293347,0.009103,0.2156,11.80,107.02,93.96,38.35,0.25,1.65,470.39,0.067696,0.002888,0.3220,28.28,51.30,46.90,13.99,2.02,7.58,155.20
