Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
1,2513.123064,0.501700,0.5350,61.80,28.07,17.59,17.90,2.16,6.98,98.01,3409.348057,0.677400,0.3871,23.74,47.71,36.98,23.44,0.51,3.54,230.78
2,2610.859331,0.521567,0.5486,69.92,23.49,14.35,15.69,3.68,12.44,98.62,3613.415029,0.717990,0.3874,26.77,47.69,37.78,21.88,0.51,3.54,223.78
3,2470.654720,0.493580,0.5743,77.66,24.10,13.49,17.05,2.41,10.79,103.25,3504.447510,0.696421,0.4030,32.83,47.12,36.42,23.18,1.52,4.55,239.24
4,2481.274651,0.495645,0.5642,75.63,26.26,13.98,19.15,2.54,10.66,98.76,3505.946895,0.696978,0.3912,30.30,47.23,35.85,24.22,0.51,4.55,218.26
5,2563.480939,0.512062,0.5560,72.97,26.22,14.45,18.87,2.41,9.77,103.07,3545.287002,0.704659,0.3897,27.27,47.61,36.43,24.08,2.02,6.06,220.28
6,2376.237567,0.474488,0.5761,78.43,27.38,15.75,19.08,2.16,10.28,102.70,3437.020049,0.683255,0.3999,30.81,47.44,35.75,24.49,1.52,3.54,217.63
7,2331.446763,0.465694,0.5860,83.38,24.20,14.00,16.86,3.17,11.29,96.47,3366.575547,0.669030,0.4032,29.29,46.75,36.20,22.73,0.51,5.05,223.45
8,2658.044970,0.530948,0.5475,70.18,27.43,14.87,20.18,2.79,9.52,108.74,3647.799541,0.725420,0.3876,27.27,48.09,35.46,25.70,0.51,3.03,217.26
9,2448.396011,0.488900,0.5810,83.76,27.98,15.98,19.47,2.03,8.38,112.78,3483.267197,0.692389,0.4073,30.81,47.41,35.36,24.96,1.52,5.05,226.73
10,2427.385140,0.484884,0.5842,85.91,24.53,13.80,17.27,3.17,12.06,106.63,3520.169189,0.699545,0.4054,32.32,47.37,36.51,23.35,1.01,4.04,218.25
11,2427.607056,0.484944,0.5871,82.61,25.25,13.85,18.33,4.19,10.03,105.67,3482.537988,0.692090,0.4114,35.86,47.76,36.15,23.98,0.51,2.53,206.19
12,2389.788044,0.477062,0.5723,75.76,29.24,17.23,19.76,2.03,6.47,94.66,3357.940498,0.667263,0.4169,32.32,48.20,36.07,25.28,1.52,4.55,236.30
13,2405.654297,0.480473,0.5782,79.44,25.67,14.82,17.73,2.92,10.79,99.56,3472.795459,0.690314,0.4014,31.82,46.35,35.46,23.63,1.01,5.05,223.49
14,2392.194634,0.477787,0.5678,75.38,25.61,14.48,18.20,2.66,11.68,99.92,3479.195566,0.691387,0.3879,29.29,47.67,36.76,23.96,0.51,4.04,224.65
15,2267.772302,0.452840,0.5800,78.30,27.21,15.34,19.30,2.41,9.64,100.47,3291.091211,0.653991,0.4082,34.85,47.10,35.29,24.79,2.02,5.56,224.02
16,2548.319585,0.509016,0.5488,68.65,28.50,14.60,21.55,1.40,7.99,101.84,3491.893730,0.694136,0.3922,26.26,48.48,35.57,26.52,1.52,5.56,219.78
17,2481.284590,0.495440,0.5726,78.43,26.28,16.51,16.93,2.66,9.77,97.23,3467.115498,0.689246,0.4065,30.81,45.98,35.45,22.73,1.52,3.54,222.49
18,2472.913097,0.493923,0.5543,71.19,25.35,14.81,17.59,2.28,11.55,99.09,3501.517158,0.696066,0.3871,27.27,46.63,35.87,23.61,0.00,2.02,221.59
19,2369.676521,0.473169,0.5870,84.01,26.39,15.93,17.76,2.66,10.28,94.35,3330.010928,0.661864,0.4156,32.32,46.27,35.23,23.63,1.52,4.04,217.78
20,2604.541635,0.520291,0.5604,75.76,25.60,14.12,18.40,2.41,11.68,103.85,3624.110830,0.720673,0.3884,25.25,46.83,35.45,24.55,0.51,1.52,230.82
21,2456.187835,0.490497,0.5651,75.76,27.26,15.77,19.00,2.28,9.64,107.39,3424.327480,0.680670,0.4001,29.80,47.53,35.45,24.98,1.52,3.03,221.92
22,2443.455987,0.488075,0.5610,75.38,22.99,14.14,15.08,5.33,14.47,101.96,3464.335947,0.688655,0.3926,28.28,45.10,35.28,21.34,2.02,4.55,218.48
